STATION,LAT,LON,ALT,PARAMETER,YEAR,MONTH,DAY,HOUR,AVERAGING_PERIOD,CONCENTRATION,UNITS
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,0,1,26.557472229003906,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,1,1,24.57827377319336,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,2,1,23.696781158447266,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,3,1,22.706117630004883,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,4,1,22.294267654418945,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,5,1,21.91473388671875,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,6,1,21.98740005493164,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,7,1,22.31554412841797,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,8,1,22.882068634033203,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,9,1,22.29266929626465,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,10,1,23.326614379882812,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,11,1,22.754789352416992,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,12,1,22.760814666748047,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,13,1,23.101722717285156,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,14,1,23.23939323425293,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,15,1,23.51018524169922,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,16,1,24.006454467773438,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,17,1,24.527584075927734,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,18,1,25.703601837158203,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,19,1,26.702058792114258,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,20,1,27.118865966796875,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,21,1,26.976749420166016,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,22,1,25.78469467163086,ug/m3
Station81,6.4369602,-75.3303986,1,pm5,2019,3,10,23,1,24.323667526245117,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,0,1,23.678178787231445,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,1,1,22.846715927124023,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,2,1,21.766447067260742,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,3,1,21.736757278442383,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,4,1,21.431364059448242,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,5,1,23.050195693969727,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,6,1,24.679489135742188,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,7,1,25.845869064331055,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,8,1,27.771766662597656,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,9,1,29.768033981323242,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,10,1,31.23284149169922,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,11,1,33.08475112915039,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,12,1,35.03839874267578,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,13,1,37.051856994628906,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,14,1,38.639320373535156,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,15,1,40.122100830078125,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,16,1,40.86192321777344,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,17,1,39.443904876708984,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,18,1,37.80817413330078,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,19,1,35.27938461303711,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,20,1,31.952184677124023,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,21,1,29.168943405151367,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,22,1,26.996826171875,ug/m3
Station3,6.3790379,-75.4509125,1,pm5,2019,3,10,23,1,25.403179168701172,ug/m3
Station82,6.3453598,-75.5047531,1,pm5,2019,3,10,0,1,25.094369888305664,ug/m3
Station82,6.3453598,-75.5047531,1,pm5,2019,3,10,1,1,24.344791412353516,ug/m3
Station82,6.3453598,-75.5047531,1,pm5,2019,3,10,2,1,23.787498474121094,ug/m3
Station82,6.3453598,-75.5047531,1,pm5,2019,3,10,3,1,23.645355224609375,ug/m3
Station82,6.3453598,-75.5047531,1,pm5,2019,3,10,4,1,23.179855346679688,ug/m3
Station82,6.3453598,-75.5047531,1,pm5,2019,3,10,5,1,23.517688751220703,ug/m3
Station82,6.3453598,-75.5047531,1,pm5,2019,3,10,6,1,23.399749755859375,ug/m3
Station82,6.3453598,-75.5047531,1,pm5,2019,3,10,7,1,23.54888343811035,ug/m3
Station82,6.3453598,-75.5047531,1,pm5,2019,3,10,8,1,24.4840145111084,ug/m3
