STATION;LAT;LON;ALT;PARAMETER;YEAR;MONTH;DAY;HOUR;AVERAGING_PERIOD;CONCENTRATION;UNITS
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;0;1;22.882509231567383;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;1;1;20.841270446777344;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;2;1;19.57289695739746;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;3;1;18.924869537353516;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;4;1;18.96249008178711;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;5;1;19.323837280273438;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;6;1;20.033401489257812;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;7;1;21.22947120666504;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;8;1;22.70502281188965;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;9;1;22.684099197387695;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;10;1;23.697641372680664;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;11;1;23.14151382446289;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;12;1;23.119068145751953;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;13;1;22.67304039001465;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;14;1;22.083925247192383;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;15;1;22.028701782226562;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;16;1;21.854347229003906;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;17;1;22.67786979675293;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;18;1;23.942546844482422;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;19;1;25.414793014526367;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;20;1;26.435976028442383;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;21;1;26.9239501953125;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;22;1;26.42593765258789;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;3;13;23;1;25.982696533203125;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;0;1;29.446762084960938;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;1;1;28.540340423583984;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;2;1;28.2842960357666;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;3;1;29.859996795654297;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;4;1;31.6049747467041;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;5;1;35.70464324951172;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;6;1;39.64353942871094;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;7;1;42.470245361328125;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;8;1;46.21204376220703;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;9;1;49.83433532714844;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;10;1;51.668975830078125;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;11;1;53.4841194152832;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;12;1;54.04895782470703;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;13;1;53.49479293823242;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;14;1;52.76133346557617;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;15;1;52.95730972290039;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;16;1;52.45408248901367;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;17;1;50.3168830871582;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;18;1;47.77229309082031;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;19;1;43.93043518066406;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;20;1;38.50628662109375;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;21;1;33.149147033691406;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;22;1;27.828147888183594;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;3;13;23;1;23.539064407348633;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;0;1;20.149030685424805;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;1;1;18.659860610961914;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;2;1;18.195253372192383;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;3;1;18.650442123413086;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;4;1;19.69567108154297;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;5;1;21.567075729370117;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;6;1;23.033720016479492;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;7;1;24.638601303100586;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;8;1;26.250123977661133;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;9;1;27.136512756347656;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;10;1;28.001808166503906;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;11;1;28.870018005371094;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;12;1;29.21701431274414;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;13;1;30.25090789794922;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;14;1;30.444786071777344;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;15;1;31.16068458557129;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;16;1;31.646759033203125;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;17;1;31.953187942504883;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;18;1;31.39092445373535;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;19;1;30.316486358642578;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;20;1;28.788896560668945;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;21;1;25.49581527709961;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;22;1;22.511682510375977;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;3;13;23;1;19.564002990722656;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;0;1;25.798072814941406;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;1;1;24.25069808959961;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;2;1;24.104265213012695;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;3;1;24.599210739135742;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;4;1;25.844053268432617;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;5;1;27.252418518066406;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;6;1;28.617881774902344;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;7;1;29.54351806640625;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;8;1;30.322168350219727;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;9;1;30.043710708618164;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;10;1;29.722087860107422;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;11;1;29.13480567932129;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;12;1;28.93568992614746;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;13;1;29.41868019104004;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;14;1;30.703367233276367;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;15;1;32.47593307495117;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;16;1;35.09819412231445;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;17;1;36.33721160888672;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;18;1;37.961524963378906;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;19;1;38.24242401123047;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;20;1;37.74003982543945;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;21;1;36.540409088134766;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;22;1;34.770729064941406;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;3;13;23;1;32.59669494628906;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;0;1;22.483558654785156;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;1;1;22.133922576904297;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;2;1;22.172534942626953;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;3;1;23.271728515625;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;4;1;26.747793197631836;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;5;1;29.72039794921875;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;6;1;33.18571090698242;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;7;1;35.58865737915039;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;8;1;36.436527252197266;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;9;1;35.63193130493164;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;10;1;34.606666564941406;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;11;1;33.72123718261719;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;12;1;32.63645935058594;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;13;1;33.528141021728516;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;14;1;34.73984909057617;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;15;1;36.54181671142578;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;16;1;38.62371063232422;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;17;1;40.67406463623047;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;18;1;41.6431770324707;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;19;1;39.80730438232422;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;20;1;37.11017990112305;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;21;1;33.34312438964844;ug/m3
Station86;6.2904805999999995;-75.5555191;1;pm25;2019;3;13;22;1;29.26388168334961;ug/m3
